1	1	2
1	2	2
1	3	2
1	4	1
1	5	2
1	6	2
1	7	2
1	8	1
1	9	2
1	10	2
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	2
2	7	1
2	8	1
2	9	2
2	10	2
3	1	2
3	2	1
3	3	2
3	4	1
3	5	1
3	6	1
3	7	2
3	8	2
3	9	2
3	10	2
4	1	2
4	2	2
4	3	2
4	4	2
4	5	2
4	6	1
4	7	2
4	8	2
4	9	2
4	10	2
5	1	2
5	2	1
5	3	1
5	4	1
5	5	2
5	6	1
5	7	1
5	8	2
5	9	2
5	10	1
6	1	2
6	2	2
6	3	2
6	4	2
6	5	2
6	6	2
6	7	2
6	8	2
6	9	2
6	10	2
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	2
7	9	2
7	10	2
8	1	2
8	2	1
8	3	2
8	4	2
8	5	2
8	6	2
8	7	2
8	8	2
8	9	2
8	10	1
9	1	2
9	2	1
9	3	1
9	4	1
9	5	1
9	6	2
9	7	2
9	8	2
9	9	2
9	10	2
10	1	2
10	2	2
10	3	2
10	4	2
10	5	2
10	6	2
10	7	2
10	8	1
10	9	2
10	10	2
11	1	1
11	2	1
11	3	2
11	4	1
11	5	1
11	6	2
11	7	1
11	8	2
11	9	1
11	10	1
12	1	1
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	2
12	9	2
12	10	1
13	1	2
13	2	2
13	3	2
13	4	2
13	5	2
13	6	1
13	7	2
13	8	2
13	9	2
13	10	2
14	1	1
14	2	1
14	3	1
14	4	1
14	5	1
14	6	1
14	7	1
14	8	2
14	9	2
14	10	1
15	1	1
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	2
15	9	1
15	10	2
16	1	2
16	2	2
16	3	2
16	4	2
16	5	2
16	6	2
16	7	2
16	8	2
16	9	1
16	10	1
17	1	2
17	2	2
17	3	2
17	4	2
17	5	2
17	6	1
17	7	2
17	8	2
17	9	2
17	10	2
18	1	2
18	2	2
18	3	1
18	4	2
18	5	2
18	6	2
18	7	2
18	8	2
18	9	2
18	10	2
19	1	1
19	2	1
19	3	1
19	4	1
19	5	1
19	6	2
19	7	1
19	8	2
19	9	2
19	10	2
20	1	2
20	2	2
20	3	1
20	4	1
20	5	1
20	6	2
20	7	1
20	8	2
20	9	1
20	10	2
21	4	1
21	9	2
21	10	2
21	11	1
21	12	1
21	13	1
21	14	1
21	15	1
21	16	2
21	17	1
22	4	1
22	9	2
22	10	2
22	11	1
22	12	1
22	13	1
22	14	2
22	15	1
22	16	1
22	17	1
23	4	2
23	9	2
23	10	2
23	11	1
23	12	2
23	13	1
23	14	2
23	15	1
23	16	1
23	17	2
24	4	1
24	9	1
24	10	2
24	11	1
24	12	1
24	13	1
24	14	1
24	15	1
24	16	2
24	17	1
25	4	1
25	9	2
25	10	2
25	11	1
25	12	1
25	13	1
25	14	1
25	15	1
25	16	2
25	17	2
26	4	2
26	9	2
26	10	2
26	11	2
26	12	2
26	13	1
26	14	1
26	15	2
26	16	1
26	17	2
27	4	1
27	9	2
27	10	2
27	11	1
27	12	1
27	13	1
27	14	1
27	15	1
27	16	2
27	17	1
28	4	1
28	9	2
28	10	2
28	11	1
28	12	1
28	13	1
28	14	1
28	15	1
28	16	1
28	17	1
29	4	1
29	9	1
29	10	2
29	11	1
29	12	1
29	13	1
29	14	1
29	15	1
29	16	2
29	17	1
30	4	2
30	9	2
30	10	1
30	11	2
30	12	2
30	13	1
30	14	2
30	15	2
30	16	2
30	17	1
31	4	1
31	9	2
31	10	2
31	11	1
31	12	1
31	13	1
31	14	1
31	15	1
31	16	1
31	17	2
32	4	2
32	9	2
32	10	2
32	11	1
32	12	1
32	13	1
32	14	1
32	15	2
32	16	1
32	17	2
33	4	2
33	9	2
33	10	2
33	11	2
33	12	2
33	13	2
33	14	2
33	15	2
33	16	2
33	17	2
34	4	2
34	9	2
34	10	2
34	11	2
34	12	2
34	13	2
34	14	2
34	15	2
34	16	2
34	17	2
35	4	1
35	9	2
35	10	2
35	11	1
35	12	1
35	13	1
35	14	1
35	15	1
35	16	1
35	17	1
36	4	1
36	9	2
36	10	2
36	11	1
36	12	1
36	13	1
36	14	2
36	15	1
36	16	1
36	17	1
37	4	2
37	9	2
37	10	2
37	11	2
37	12	1
37	13	1
37	14	2
37	15	2
37	16	1
37	17	2
38	4	1
38	9	2
38	10	2
38	11	1
38	12	1
38	13	1
38	14	1
38	15	1
38	16	2
38	17	1
39	4	1
39	9	2
39	10	2
39	11	2
39	12	1
39	13	2
39	14	2
39	15	2
39	16	1
39	17	2
40	4	2
40	9	2
40	10	2
40	11	2
40	12	2
40	13	2
40	14	2
40	15	2
40	16	2
40	17	2
41	2	1
41	4	1
41	6	1
41	9	2
41	10	1
41	18	2
41	19	2
41	20	2
41	21	1
41	22	2
42	2	1
42	4	1
42	6	2
42	9	2
42	10	2
42	18	2
42	19	2
42	20	1
42	21	1
42	22	2
43	2	1
43	4	1
43	6	1
43	9	1
43	10	2
43	18	2
43	19	1
43	20	1
43	21	2
43	22	1
44	2	1
44	4	2
44	6	2
44	9	2
44	10	2
44	18	2
44	19	2
44	20	1
44	21	2
44	22	2
45	2	1
45	4	2
45	6	2
45	9	1
45	10	2
45	18	2
45	19	2
45	20	1
45	21	2
45	22	2
46	2	1
46	4	2
46	6	1
46	9	2
46	10	1
46	18	1
46	19	2
46	20	2
46	21	1
46	22	1
47	2	1
47	4	1
47	6	1
47	9	2
47	10	2
47	18	2
47	19	2
47	20	1
47	21	1
47	22	2
48	2	2
48	4	2
48	6	2
48	9	2
48	10	2
48	18	2
48	19	2
48	20	2
48	21	2
48	22	2
49	2	2
49	4	2
49	6	1
49	9	2
49	10	2
49	18	2
49	19	2
49	20	2
49	21	2
49	22	2
50	2	2
50	4	2
50	6	2
50	9	2
50	10	2
50	18	2
50	19	2
50	20	2
50	21	1
50	22	2
51	2	1
51	4	2
51	6	2
51	9	2
51	10	2
51	18	2
51	19	2
51	20	2
51	21	1
51	22	1
52	2	2
52	4	2
52	6	1
52	9	1
52	10	1
52	18	2
52	19	2
52	20	2
52	21	2
52	22	2
53	2	2
53	4	2
53	6	2
53	9	2
53	10	2
53	18	1
53	19	2
53	20	1
53	21	2
53	22	2
54	2	1
54	4	1
54	6	1
54	9	2
54	10	2
54	18	2
54	19	1
54	20	1
54	21	1
54	22	1
55	2	1
55	4	1
55	6	2
55	9	2
55	10	2
55	18	1
55	19	2
55	20	1
55	21	2
55	22	1
56	2	2
56	4	1
56	6	2
56	9	2
56	10	1
56	18	2
56	19	2
56	20	2
56	21	2
56	22	2
57	2	2
57	4	2
57	6	2
57	9	2
57	10	2
57	18	2
57	19	2
57	20	2
57	21	2
57	22	2
58	2	2
58	4	2
58	6	2
58	9	2
58	10	2
58	18	2
58	19	2
58	20	2
58	21	1
58	22	2
59	2	2
59	4	1
59	6	1
59	9	2
59	10	2
59	18	2
59	19	2
59	20	1
59	21	1
59	22	2
60	2	1
60	4	2
60	6	2
60	9	2
60	10	2
60	18	2
60	19	2
60	20	1
60	21	1
60	22	2
61	6	1
61	8	2
61	9	2
61	10	2
61	23	2
61	24	2
61	25	1
61	26	1
61	27	2
61	28	2
62	6	2
62	8	2
62	9	2
62	10	1
62	23	1
62	24	2
62	25	2
62	26	2
62	27	2
62	28	2
63	6	1
63	8	2
63	9	2
63	10	2
63	23	1
63	24	1
63	25	1
63	26	1
63	27	1
63	28	1
64	6	1
64	8	2
64	9	2
64	10	2
64	23	1
