"ID","TITLE","URL","OWNER","DESCRIPTION","FAVOURITE","ISFAMILY","ISFRIEND","ISPUBLIC","ISPRIMARY","DATETAKEN","DATEUPLOADED","DATEPOSTED","DATEADDED","NTAGS","NCOMMENTS","SECRET","O_URL","ORGINALSECRET","LICENSE"
"7165421968","Survival writing: Letters of Complaint","http://www.flickr.com/photos/walkingsf/7165421968/","24431382@N03","","false","false","false","true","false",09-MAR-12,09-MAY-12,09-MAY-12,,4,0,"17891ed9ac","http://farm6.static.flickr.com/5441/7165421968_f533145189_o.jpg","f533145189",4
"6067517843","Clark County Bank baseball cap, used in 1975","http://www.flickr.com/photos/46183897@N00/6067517843/","46183897@N00","I wore this baseball cap when, at the age of 15 years, I played for the Clark County Bank baseball team in Gurdon, Arkansas. Clark County Bank no longer exists in its then-current form. I played right field, and had a batting average north of .500 that season.
We played in a Babe Ruth league, and had a winning season. This was my last season to play organized baseball. ","false","false","false","true","false",09-MAR-01,22-AUG-11,22-AUG-11,,10,0,"ab0502808f","http://farm7.static.flickr.com/6187/6067517843_564fb0b76b_o.jpg","564fb0b76b",4
"4869975009","j brand bell bottoms+louis vuitton speedy+peplum jacket-light","http://www.flickr.com/photos/lovemaegan/4869975009/","25240867@N04","<a href=""http://www.lovemaegan.com"" rel=""nofollow"">www.lovemaegan.com</a>","false","false","false","true","false",05-AUG-10,10-APR-12,08-AUG-10,,12,0,"65d3fd3de2","http://farm5.static.flickr.com/4141/4869975009_a85b57b0e3_o.jpg","a85b57b0e3",4
"4870585288","maegan+outfit+louis vuitton speedy+j brand bell bottoms+vintage ungaro jacket","http://www.flickr.com/photos/lovemaegan/4870585288/","25240867@N04","<a href=""http://www.lovemaegan.com"" rel=""nofollow"">www.lovemaegan.com</a>","false","false","false","true","false",05-AUG-10,10-APR-12,08-AUG-10,,12,0,"8abc4d1c6e","http://farm5.static.flickr.com/4077/4870585288_d583481298_o.jpg","d583481298",4
"4870586352","vintage pouf sleeve peplum jacket+j brand bell bottoms+louis vuitton bag+tom ford sunglasses+sharp-light","http://www.flickr.com/photos/lovemaegan/4870586352/","25240867@N04","<a href=""http://www.lovemaegan.com"" rel=""nofollow"">www.lovemaegan.com</a>","false","false","false","true","false",05-AUG-10,10-APR-12,08-AUG-10,,12,1,"4842b9f8ee","http://farm5.static.flickr.com/4119/4870586352_7f45c96b2e_o.jpg","7f45c96b2e",4
"4870585636","maegan+outfit+louis vuitton speedy+j brand bell bottoms+vintage ungaro jacket+velvet angels shoes -sharp","http://www.flickr.com/photos/lovemaegan/4870585636/","25240867@N04","<a href=""http://www.lovemaegan.com/2010/08/in-my-skin-tight-jeans-be-your-teenage.html"" rel=""nofollow"">www.lovemaegan.com/2010/08/in-my-skin-tight-jeans-be-your...</a>","false","false","false","true","false",05-AUG-10,22-APR-12,08-AUG-10,,12,0,"0213ba0b3f","http://farm5.static.flickr.com/4140/4870585636_76ba406e02_o.jpg","76ba406e02",4
"4869973849","vintage ungaro jacket+louis vuitton speedy+shadows+j brand bell bottoms sharp bright","http://www.flickr.com/photos/lovemaegan/4869973849/","25240867@N04","<a href=""http://www.lovemaegan.com"" rel=""nofollow"">www.lovemaegan.com</a>","false","false","false","true","false",05-AUG-10,10-APR-12,08-AUG-10,,12,0,"b9b88cc0d9","http://farm5.static.flickr.com/4142/4869973849_bfae0418ee_o.jpg","bfae0418ee",4
"4870585932","vintage ungaro jacket+louis vuitton speedy+shadows+j brand bell bottoms","http://www.flickr.com/photos/lovemaegan/4870585932/","25240867@N04","<a href=""http://www.lovemaegan.com"" rel=""nofollow"">www.lovemaegan.com</a>","false","false","false","true","false",05-AUG-10,10-APR-12,08-AUG-10,,12,0,"e9aecc80cd","http://farm5.static.flickr.com/4098/4870585932_842892d4ed_o.jpg","842892d4ed",4
"476511758","bell bottoms","http://www.flickr.com/photos/st_a_sh/476511758/","51655688@N00","","false","false","false","true","false",28-APR-07,12-MAY-09,29-APR-07,,5,0,"889c81cbac","http://farm1.static.flickr.com/214/476511758_863e8b26ab_o.jpg","863e8b26ab",4
"8910893","Bell Bottoms","http://www.flickr.com/photos/peterkaminski/8910893/","35034359460@N01","What's this?","false","false","false","true","false",08-APR-05,02-MAY-06,09-APR-05,,2,0,"f40db1493f","http://farm1.static.flickr.com/4/8910893_f40db1493f_o.jpg","f40db1493f",4
"4869974803","peplum jacket+pouf sleeve jacket+mint jacket+vintage ungaro jacket-large","http://www.flickr.com/photos/lovemaegan/4869974803/","25240867@N04","<a href=""http://www.lovemaegan.com"" rel=""nofollow"">www.lovemaegan.com</a>","false","false","false","true","false",05-AUG-10,10-APR-12,08-AUG-10,,12,0,"67e9a3904f","http://farm5.static.flickr.com/4077/4869974803_bc7bfc2a88_o.jpg","bc7bfc2a88",4
