Url,Q1ExpertVote,Q1NonExpertVote,Q1CountYes,Q1CountNo,Q1CountNotsure,Q1CountNoAgreement,Q2ExpertVote,Q2NonExpertVote,Q2CountYes,Q2CountNo,Q2CountNotsure,Q2CountNoAgreement
http://farm3.static.flickr.com/2183/5759787646_80284aa5aa.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm3.static.flickr.com/2401/2398975021_d29eef8ffd.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm3.static.flickr.com/2424/4015630364_eaeed56887.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm3.static.flickr.com/2438/3643283079_f172b26309.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/156/432972197_b74800c7da.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm1.static.flickr.com/29/60472748_c24e40cf1f.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm1.static.flickr.com/34/73486425_a50694a2c9.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm3.static.flickr.com/2357/2383936460_9b865ea70e.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3010/2933133891_d892941e7a.jpg,No,NoAgreement,0,1,0,1,No,No,0,2,0,0
http://farm4.static.flickr.com/3015/2933990674_4a551d1237.jpg,No,NoAgreement,0,1,0,1,No,No,0,2,0,0
http://farm4.static.flickr.com/3029/2383936530_d13b4c1e0d.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3051/3564415008_e6dd005a50.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm8.static.flickr.com/7161/6661712513_9516c9ed9f.jpg,Yes,Yes,2,0,0,0,No,Yes,1,1,0,0
http://farm1.static.flickr.com/16/20530924_9f588a72aa.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/17/20530734_231c66c1d6.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/27/47879168_fd79f029ae.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm3.static.flickr.com/2057/2417826607_ef9e9b0176.jpg,Yes,Yes,2,0,0,0,Yes,No,1,1,0,0
http://farm3.static.flickr.com/2334/2418642596_218bfa12cc.jpg,Yes,Yes,2,0,0,0,Yes,No,1,1,0,0
http://farm3.static.flickr.com/2791/4439468727_30e55ca90a.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm5.static.flickr.com/4062/4291687336_c30e9a82ce.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm5.static.flickr.com/4064/4310255114_852da2e7f5.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm5.static.flickr.com/4085/4831050025_a73703a223.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6157/6204338539_09bf75b923.jpg,Yes,No,1,1,0,0,No,No,0,2,0,0
http://farm8.static.flickr.com/7033/6670878087_1c81168b9f.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm8.static.flickr.com/7143/6670873647_0ba17919f5.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm8.static.flickr.com/7162/6670874873_fed4784bcb.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm7.static.flickr.com/6093/6354593179_1b12e52561.jpg,Yes,No,1,1,0,0,No,No,0,2,0,0
http://farm7.static.flickr.com/6095/6354116677_575249b0ea.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6095/6354302683_eda247dcd1.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6097/6354158137_638d0e6aba.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6098/6354166481_19686f0479.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6098/6354553611_d647e323ba.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6102/6354105533_6b05c5a823.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6104/6354102457_3ea82d1b6e.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6229/6354050259_bf6973e42c.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6229/6354560613_36a81266a4.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6231/6354407017_92ea27a1c8.jpg,Yes,NoAgreement,1,0,0,1,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6232/6354206915_2779f69f58.jpg,Yes,Yes,2,0,0,0,Yes,No,1,1,0,0
http://farm3.static.flickr.com/2463/5749452294_8383eb1a32.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm3.static.flickr.com/2741/4444576795_108f15ae9e.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3089/3239377094_f481e02ac7.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/163/379689002_eae01ceb04.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/165/379712067_d94a4f1f97.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/165/379714859_c2e41c309d.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/167/379716306_17b103dbd2.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm1.static.flickr.com/181/379713604_55bdd97d3d.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm4.static.flickr.com/3147/2838036453_81ae207fd5.jpg,Notsure,Yes,1,0,1,0,No,NoAgreement,0,1,0,1
http://farm5.static.flickr.com/4128/5030658767_57838f1835.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm6.static.flickr.com/5015/5472498010_9f8746929b.jpg,Yes,Yes,2,0,0,0,Notsure,NoAgreement,0,0,1,1
http://farm6.static.flickr.com/5057/5479007082_3dab23ea54.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm6.static.flickr.com/5140/5473536526_f7f9e39c55.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm6.static.flickr.com/5172/5478405639_ddd67f2e67.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm6.static.flickr.com/5217/5476141572_a8c706e0b6.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm3.static.flickr.com/2454/3571670780_07f88d9706.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm3.static.flickr.com/2702/4309153453_2f877a3811.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm3.static.flickr.com/2736/4307537282_88660d0224.jpg,Yes,Yes,2,0,0,0,NoAgreement,No,0,1,0,1
http://farm3.static.flickr.com/2780/4309152981_4c7df51623.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3270/2715132587_49d62c138a.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3271/2579350562_6c490410a4.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3318/3492463720_7a4533bbf5.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm5.static.flickr.com/4049/4309152805_feeed90bed.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm5.static.flickr.com/4052/4309154459_7984e2c347.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm5.static.flickr.com/4058/4309154049_7f7f7895f3.jpg,Yes,Yes,2,0,0,0,No,NoAgreement,0,1,0,1
http://farm6.static.flickr.com/5177/5402859129_1f3d4c5656.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm6.static.flickr.com/5203/5248916424_95dc45d47e.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm7.static.flickr.com/6099/6278037276_5dc0d43b99.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm7.static.flickr.com/6129/5955742986_bbf59fb552.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm7.static.flickr.com/6216/6277509285_51a0c08d6a.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3255/2739095928_b5a06fe884.jpg,Yes,Yes,2,0,0,0,Notsure,No,0,1,1,0
http://farm4.static.flickr.com/3348/4624609661_d8f3e0908f.jpg,Yes,No,1,1,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3371/3218361762_bfe8259b4f.jpg,Yes,Yes,2,0,0,0,No,No,0,2,0,0
http://farm4.static.flickr.com/3376/3596411892_6f625b18d1.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm5.static.flickr.com/4099/4888981692_47918ae121.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm5.static.flickr.com/4100/4888382795_e45c223f11.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm5.static.flickr.com/4101/4888381567_158656ee70.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm5.static.flickr.com/4144/4973031077_ed2e71eff5.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm6.static.flickr.com/5248/5339731584_4bde0f48af.jpg,No,No,0,2,0,0,No,No,0,2,0,0
http://farm6.static.flickr.com/5319/7053990971_342473a6f4.jpg,Yes,Yes,2,0,0,0,Yes,Yes,2,0,0,0
http://farm7.static.flickr.com/6129/5939902639_0f76bc2932.jpg,No,No,0,2,0,0,NoAgreement,No,0,1,0,1
http://farm7.static.flickr.com/6135/6191310201_29e537d135.jpg,No,No,0,2,0,0,No,No,0,2,0,0
